2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 12:50:32.0342 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GO6LRCT4U" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
